C	NC_007605.1-ebv2000	10376	301	10376:120 A:31 10376:56 0:31 10376:18 0:15
C	NC_007605.1-ebv1998	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1996	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1994	10376	301	10376:120 A:31 0:48 10376:72
C	NC_007605.1-ebv1992	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1990	10376	301	10376:120 A:31 10376:63 0:31 10376:26
C	NC_007605.1-ebv1988	10376	301	10376:120 A:31 0:1 10376:119
C	NC_007605.1-ebv1986	10376	301	0:25 10376:95 A:31 10376:38 0:31 10376:51
C	NC_007605.1-ebv1984	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1982	10376	301	10376:1 0:31 10376:88 A:31 10376:120
C	NC_007605.1-ebv1980	10376	301	10376:120 A:31 10376:88 0:31 10376:1
C	NC_007605.1-ebv1978	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1976	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1974	10376	301	10376:32 0:31 10376:57 A:31 10376:97 0:23
C	NC_007605.1-ebv1972	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1970	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1968	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1966	10376	301	10376:52 0:31 10376:37 A:31 10376:120
C	NC_007605.1-ebv1964	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1962	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1960	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1958	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1956	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1954	10376	301	10376:4 0:31 10376:85 A:31 10376:120
C	NC_007605.1-ebv1952	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1950	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1948	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1946	10376	301	10376:52 0:31 10376:37 A:31 10376:120
C	NC_007605.1-ebv1944	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1942	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1940	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1938	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1936	10376	301	10376:120 A:31 10376:62 0:31 10376:27
C	NC_007605.1-ebv1934	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1932	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1930	10376	301	10376:32 0:31 10376:57 A:31 10376:115 0:5
C	NC_007605.1-ebv1928	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1926	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1924	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1922	10376	301	10376:120 A:31 10376:55 0:31 10376:34
C	NC_007605.1-ebv1920	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1918	10376	301	10376:33 0:31 10376:56 A:31 10376:120
C	NC_007605.1-ebv1916	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1914	10376	301	10376:76 0:31 10376:13 A:31 10376:120
C	NC_007605.1-ebv1912	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1910	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1908	10376	301	10376:85 0:31 10376:4 A:31 10376:120
C	NC_007605.1-ebv1906	10376	301	10376:120 A:31 10376:32 0:31 10376:57
C	NC_007605.1-ebv1904	10376	301	10376:119 0:1 A:31 10376:120
C	NC_007605.1-ebv1902	10376	301	10376:120 A:31 10376:106 0:14
C	NC_007605.1-ebv1900	10376	301	10376:120 A:31 10376:96 0:24
C	NC_007605.1-ebv1898	10376	301	10376:85 0:31 10376:4 A:31 10376:120
C	NC_007605.1-ebv1896	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1894	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1892	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1890	10376	301	10376:120 A:31 0:11 10376:109
C	NC_007605.1-ebv1888	10376	301	10376:40 0:31 10376:49 A:31 10376:83 0:31 10376:6
C	NC_007605.1-ebv1886	10376	301	10376:89 0:31 A:31 10376:120
C	NC_007605.1-ebv1884	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1882	10376	301	10376:120 A:31 0:31 10376:89
C	NC_007605.1-ebv1880	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1878	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1876	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1874	10376	301	10376:37 0:27 10376:56 A:31 10376:120
C	NC_007605.1-ebv1872	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1870	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1868	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1866	10376	301	0:24 10376:96 A:31 10376:120
C	NC_007605.1-ebv1864	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1862	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1860	10376	301	10376:120 A:31 0:18 10376:102
C	NC_007605.1-ebv1858	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1856	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1854	10376	301	10376:120 A:31 10376:47 0:58 10376:15
C	NC_007605.1-ebv1852	10376	301	10376:120 A:31 10376:20 0:31 10376:50 0:19
C	NC_007605.1-ebv1850	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1848	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1846	10376	301	10376:77 0:31 10376:12 A:31 10376:120
C	NC_007605.1-ebv1844	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1842	10376	301	10376:120 A:31 10376:120
C	NC_007605.1-ebv1840	10376	301	0:3 10376:117 A:31 10376:120
C	NC_007605.1-ebv1838	10376	301	10376:120 A:31 10376:120
